state,county,candidate,party,total_votes,won
Pennsylvania,Sullivan County,Joe Biden,DEM,921,FALSE
Pennsylvania,Sullivan County,Jo Jorgensen,LIB,55,FALSE
Pennsylvania,Sullivan County, Write-ins,WRI,0,FALSE
Pennsylvania,Susquehanna County,Donald Trump,REP,15207,TRUE
Pennsylvania,Susquehanna County,Joe Biden,DEM,6236,FALSE
Pennsylvania,Susquehanna County,Jo Jorgensen,LIB,309,FALSE
Pennsylvania,Tioga County,Donald Trump,REP,15742,TRUE
Pennsylvania,Tioga County,Joe Biden,DEM,4955,FALSE
Pennsylvania,Tioga County,Jo Jorgensen,LIB,378,FALSE
Pennsylvania,Tioga County, Write-ins,WRI,0,FALSE
Pennsylvania,Union County,Donald Trump,REP,12356,TRUE
Pennsylvania,Union County,Joe Biden,DEM,7475,FALSE
Pennsylvania,Union County,Jo Jorgensen,LIB,284,FALSE
Pennsylvania,Venango County,Donald Trump,REP,18569,TRUE
Pennsylvania,Venango County,Joe Biden,DEM,7585,FALSE
Pennsylvania,Venango County,Jo Jorgensen,LIB,374,FALSE
Pennsylvania,Venango County, Write-ins,WRI,0,FALSE
Pennsylvania,Warren County,Donald Trump,REP,14237,TRUE
Pennsylvania,Warren County,Joe Biden,DEM,6066,FALSE
Pennsylvania,Warren County,Jo Jorgensen,LIB,347,FALSE
Pennsylvania,Warren County, Write-ins,WRI,0,FALSE
Pennsylvania,Washington County,Donald Trump,REP,72080,TRUE
Pennsylvania,Washington County,Joe Biden,DEM,45088,FALSE
Pennsylvania,Washington County,Jo Jorgensen,LIB,1310,FALSE
Pennsylvania,Wayne County,Donald Trump,REP,18637,TRUE
Pennsylvania,Wayne County,Joe Biden,DEM,9191,FALSE
Pennsylvania,Wayne County,Jo Jorgensen,LIB,261,FALSE
Pennsylvania,Westmoreland County,Donald Trump,REP,130218,TRUE
Pennsylvania,Westmoreland County,Joe Biden,DEM,72129,FALSE
Pennsylvania,Westmoreland County,Jo Jorgensen,LIB,2350,FALSE
Pennsylvania,Westmoreland County, Write-ins,WRI,486,FALSE
Pennsylvania,Wyoming County,Donald Trump,REP,9936,TRUE
Pennsylvania,Wyoming County,Joe Biden,DEM,4704,FALSE
Pennsylvania,Wyoming County,Jo Jorgensen,LIB,218,FALSE
Pennsylvania,Wyoming County, Write-ins,WRI,0,FALSE
Pennsylvania,York County,Donald Trump,REP,146733,TRUE
Pennsylvania,York County,Joe Biden,DEM,88114,FALSE
Pennsylvania,York County,Jo Jorgensen,LIB,3624,FALSE
Rhode Island,East Providence,Joe Biden,DEM,14735,TRUE
Rhode Island,East Providence,Donald Trump,REP,7930,FALSE
Rhode Island,East Providence,Jo Jorgensen,LIB,204,FALSE
Rhode Island,East Providence, Write-ins,WRI,132,FALSE
Rhode Island,East Providence,Rocky De La Fuente,ALI,58,FALSE
Rhode Island,East Providence,Gloria La Riva,PSL,49,FALSE
Rhode Island,East Providence,Brian Carroll,ASP,45,FALSE
Rhode Island,Exeter,Donald Trump,REP,2009,TRUE
Rhode Island,Exeter,Joe Biden,DEM,1974,FALSE
Rhode Island,Exeter,Jo Jorgensen,LIB,55,FALSE
Rhode Island,Exeter, Write-ins,WRI,23,FALSE
Rhode Island,Exeter,Rocky De La Fuente,ALI,9,FALSE
Rhode Island,Exeter,Brian Carroll,ASP,8,FALSE
Rhode Island,Exeter,Gloria La Riva,PSL,4,FALSE
Rhode Island,Foster,Donald Trump,REP,1582,TRUE
Rhode Island,Foster,Joe Biden,DEM,1224,FALSE
Rhode Island,Foster,Jo Jorgensen,LIB,34,FALSE
Rhode Island,Foster,Rocky De La Fuente,ALI,10,FALSE
Rhode Island,Foster, Write-ins,WRI,9,FALSE
Rhode Island,Foster,Brian Carroll,ASP,4,FALSE
Rhode Island,Foster,Gloria La Riva,PSL,2,FALSE
Rhode Island,Glocester,Donald Trump,REP,3351,TRUE
Rhode Island,Glocester,Joe Biden,DEM,2638,FALSE
Rhode Island,Glocester,Jo Jorgensen,LIB,62,FALSE
Rhode Island,Glocester, Write-ins,WRI,38,FALSE
Rhode Island,Glocester,Rocky De La Fuente,ALI,10,FALSE
Rhode Island,Glocester,Brian Carroll,ASP,8,FALSE
Rhode Island,Glocester,Gloria La Riva,PSL,6,FALSE
Rhode Island,Hopkinton,Donald Trump,REP,2423,TRUE
Rhode Island,Hopkinton,Joe Biden,DEM,2298,FALSE
Rhode Island,Hopkinton,Jo Jorgensen,LIB,74,FALSE
Rhode Island,Hopkinton, Write-ins,WRI,24,FALSE
Rhode Island,Hopkinton,Rocky De La Fuente,ALI,12,FALSE
Rhode Island,Hopkinton,Brian Carroll,ASP,9,FALSE
Rhode Island,Hopkinton,Gloria La Riva,PSL,6,FALSE
Rhode Island,Jamestown,Joe Biden,DEM,2795,TRUE
Rhode Island,Jamestown,Donald Trump,REP,1212,FALSE
Rhode Island,Jamestown,Jo Jorgensen,LIB,44,FALSE
Rhode Island,Jamestown, Write-ins,WRI,19,FALSE
Rhode Island,Jamestown,Gloria La Riva,PSL,10,FALSE
Rhode Island,Jamestown,Brian Carroll,ASP,3,FALSE
Rhode Island,Jamestown,Rocky De La Fuente,ALI,1,FALSE
Rhode Island,Johnston,Donald Trump,REP,8222,TRUE
Rhode Island,Johnston,Joe Biden,DEM,6838,FALSE
Rhode Island,Johnston,Jo Jorgensen,LIB,88,FALSE
Rhode Island,Johnston, Write-ins,WRI,58,FALSE
Rhode Island,Johnston,Rocky De La Fuente,ALI,24,FALSE
Rhode Island,Johnston,Brian Carroll,ASP,18,FALSE
Rhode Island,Johnston,Gloria La Riva,PSL,15,FALSE
Rhode Island,Lincoln,Joe Biden,DEM,6633,TRUE
Rhode Island,Lincoln,Donald Trump,REP,5779,FALSE
Rhode Island,Lincoln,Jo Jorgensen,LIB,130,FALSE
Rhode Island,Lincoln, Write-ins,WRI,71,FALSE
Rhode Island,Lincoln,Rocky De La Fuente,ALI,28,FALSE
Rhode Island,Lincoln,Brian Carroll,ASP,19,FALSE
Rhode Island,Lincoln,Gloria La Riva,PSL,11,FALSE
Rhode Island,Little Compton,Joe Biden,DEM,1524,TRUE
Rhode Island,Little Compton,Donald Trump,REP,951,FALSE
Rhode Island,Little Compton,Jo Jorgensen,LIB,28,FALSE
Rhode Island,Little Compton, Write-ins,WRI,18,FALSE
Rhode Island,Little Compton,Brian Carroll,ASP,8,FALSE
Rhode Island,Little Compton,Gloria La Riva,PSL,5,FALSE
Rhode Island,Little Compton,Rocky De La Fuente,ALI,1,FALSE
Rhode Island,Middletown,Joe Biden,DEM,5529,TRUE
Rhode Island,Middletown,Donald Trump,REP,2885,FALSE
Rhode Island,Middletown,Jo Jorgensen,LIB,115,FALSE
Rhode Island,Middletown, Write-ins,WRI,44,FALSE
Rhode Island,Middletown,Brian Carroll,ASP,14,FALSE
Rhode Island,Middletown,Rocky De La Fuente,ALI,12,FALSE
Rhode Island,Middletown,Gloria La Riva,PSL,9,FALSE
Rhode Island,Barrington,Joe Biden,DEM,7713,TRUE
Rhode Island,Barrington,Donald Trump,REP,2889,FALSE
Rhode Island,Barrington,Jo Jorgensen,LIB,113,FALSE
Rhode Island,Barrington, Write-ins,WRI,78,FALSE
Rhode Island,Barrington,Brian Carroll,ASP,14,FALSE
Rhode Island,Barrington,Rocky De La Fuente,ALI,13,FALSE
Rhode Island,Barrington,Gloria La Riva,PSL,12,FALSE
Rhode Island,Narragansett,Joe Biden,DEM,5333,TRUE
Rhode Island,Narragansett,Donald Trump,REP,3551,FALSE
Rhode Island,Narragansett, Write-ins,WRI,62,FALSE
Rhode Island,Narragansett,Jo Jorgensen,LIB,56,FALSE
Rhode Island,Narragansett,Rocky De La Fuente,ALI,14,FALSE
Rhode Island,Narragansett,Gloria La Riva,PSL,9,FALSE
Rhode Island,Narragansett,Brian Carroll,ASP,5,FALSE
Rhode Island,Newport,Joe Biden,DEM,7866,TRUE
Rhode Island,Newport,Donald Trump,REP,2662,FALSE
Rhode Island,Newport,Jo Jorgensen,LIB,85,FALSE
Rhode Island,Newport, Write-ins,WRI,61,FALSE
Rhode Island,Newport,Rocky De La Fuente,ALI,16,FALSE
Rhode Island,Newport,Brian Carroll,ASP,12,FALSE
Rhode Island,Newport,Gloria La Riva,PSL,10,FALSE
Rhode Island,New Shoreham,Joe Biden,DEM,748,TRUE
Rhode Island,New Shoreham,Donald Trump,REP,195,FALSE
Rhode Island,New Shoreham, Write-ins,WRI,7,FALSE
Rhode Island,New Shoreham,Jo Jorgensen,LIB,4,FALSE
Rhode Island,New Shoreham,Rocky De La Fuente,ALI,1,FALSE
Rhode Island,New Shoreham,Brian Carroll,ASP,0,FALSE
Rhode Island,New Shoreham,Gloria La Riva,PSL,0,FALSE
Rhode Island,North Kingstown,Joe Biden,DEM,10534,TRUE
Rhode Island,North Kingstown,Donald Trump,REP,6633,FALSE
Rhode Island,North Kingstown,Jo Jorgensen,LIB,203,FALSE
Rhode Island,North Kingstown, Write-ins,WRI,124,FALSE
Rhode Island,North Kingstown,Rocky De La Fuente,ALI,35,FALSE
Rhode Island,North Kingstown,Brian Carroll,ASP,33,FALSE
Rhode Island,North Kingstown,Gloria La Riva,PSL,15,FALSE
Rhode Island,North Providence,Joe Biden,DEM,9438,TRUE
Rhode Island,North Providence,Donald Trump,REP,7129,FALSE
Rhode Island,North Providence,Jo Jorgensen,LIB,145,FALSE
Rhode Island,North Providence, Write-ins,WRI,66,FALSE
Rhode Island,North Providence,Gloria La Riva,PSL,31,FALSE
Rhode Island,North Providence,Brian Carroll,ASP,23,FALSE
Rhode Island,North Providence,Rocky De La Fuente,ALI,19,FALSE
Rhode Island,North Smithfield,Donald Trump,REP,3550,TRUE
Rhode Island,North Smithfield,Joe Biden,DEM,3507,FALSE
Rhode Island,North Smithfield,Jo Jorgensen,LIB,85,FALSE
Rhode Island,North Smithfield, Write-ins,WRI,34,FALSE
Rhode Island,North Smithfield,Brian Carroll,ASP,11,FALSE
Rhode Island,North Smithfield,Rocky De La Fuente,ALI,10,FALSE
Rhode Island,North Smithfield,Gloria La Riva,PSL,9,FALSE
Rhode Island,Pawtucket,Joe Biden,DEM,18053,TRUE
Rhode Island,Pawtucket,Donald Trump,REP,7257,FALSE
Rhode Island,Pawtucket,Jo Jorgensen,LIB,188,FALSE
Rhode Island,Pawtucket, Write-ins,WRI,121,FALSE
Rhode Island,Pawtucket,Gloria La Riva,PSL,68,FALSE
Rhode Island,Pawtucket,Rocky De La Fuente,ALI,52,FALSE
Rhode Island,Pawtucket,Brian Carroll,ASP,49,FALSE
Rhode Island,Portsmouth,Joe Biden,DEM,6649,TRUE
Rhode Island,Portsmouth,Donald Trump,REP,3995,FALSE
Rhode Island,Portsmouth,Jo Jorgensen,LIB,148,FALSE
Rhode Island,Portsmouth, Write-ins,WRI,73,FALSE
Rhode Island,Portsmouth,Rocky De La Fuente,ALI,24,FALSE
Rhode Island,Portsmouth,Brian Carroll,ASP,15,FALSE
Rhode Island,Portsmouth,Gloria La Riva,PSL,13,FALSE
Rhode Island,Providence,Joe Biden,DEM,45941,TRUE
Rhode Island,Providence,Donald Trump,REP,10186,FALSE
Rhode Island,Providence,Jo Jorgensen,LIB,346,FALSE
Rhode Island,Providence, Write-ins,WRI,314,FALSE
Rhode Island,Providence,Gloria La Riva,PSL,180,FALSE
Rhode Island,Providence,Brian Carroll,ASP,111,FALSE
Rhode Island,Providence,Rocky De La Fuente,ALI,89,FALSE
Rhode Island,Richmond,Joe Biden,DEM,2346,TRUE
Rhode Island,Richmond,Donald Trump,REP,2343,FALSE
Rhode Island,Richmond,Jo Jorgensen,LIB,66,FALSE
Rhode Island,Richmond, Write-ins,WRI,21,FALSE
Rhode Island,Richmond,Rocky De La Fuente,ALI,14,FALSE
Rhode Island,Richmond,Brian Carroll,ASP,9,FALSE
Rhode Island,Richmond,Gloria La Riva,PSL,9,FALSE
Rhode Island,Bristol,Joe Biden,DEM,6813,TRUE
Rhode Island,Bristol,Donald Trump,REP,4595,FALSE
Rhode Island,Bristol,Jo Jorgensen,LIB,139,FALSE
Rhode Island,Bristol, Write-ins,WRI,60,FALSE
Rhode Island,Bristol,Gloria La Riva,PSL,19,FALSE
Rhode Island,Bristol,Rocky De La Fuente,ALI,17,FALSE
Rhode Island,Bristol,Brian Carroll,ASP,14,FALSE
Rhode Island,Scituate,Donald Trump,REP,3806,TRUE
Rhode Island,Scituate,Joe Biden,DEM,2735,FALSE
Rhode Island,Scituate,Jo Jorgensen,LIB,69,FALSE
Rhode Island,Scituate, Write-ins,WRI,38,FALSE
Rhode Island,Scituate,Rocky De La Fuente,ALI,15,FALSE
Rhode Island,Scituate,Brian Carroll,ASP,12,FALSE
Rhode Island,Scituate,Gloria La Riva,PSL,8,FALSE
Rhode Island,Smithfield,Donald Trump,REP,5744,TRUE
Rhode Island,Smithfield,Joe Biden,DEM,5566,FALSE
Rhode Island,Smithfield,Jo Jorgensen,LIB,118,FALSE
Rhode Island,Smithfield, Write-ins,WRI,56,FALSE
Rhode Island,Smithfield,Rocky De La Fuente,ALI,20,FALSE
Rhode Island,Smithfield,Gloria La Riva,PSL,13,FALSE
Rhode Island,Smithfield,Brian Carroll,ASP,11,FALSE
Rhode Island,South Kingstown,Joe Biden,DEM,11254,TRUE
Rhode Island,South Kingstown,Donald Trump,REP,5003,FALSE
Rhode Island,South Kingstown,Jo Jorgensen,LIB,212,FALSE
Rhode Island,South Kingstown, Write-ins,WRI,121,FALSE
Rhode Island,South Kingstown,Rocky De La Fuente,ALI,38,FALSE
Rhode Island,South Kingstown,Brian Carroll,ASP,30,FALSE
Rhode Island,South Kingstown,Gloria La Riva,PSL,30,FALSE
Rhode Island,Tiverton,Joe Biden,DEM,5123,TRUE
Rhode Island,Tiverton,Donald Trump,REP,4017,FALSE
Rhode Island,Tiverton,Jo Jorgensen,LIB,84,FALSE
Rhode Island,Tiverton, Write-ins,WRI,32,FALSE
Rhode Island,Tiverton,Rocky De La Fuente,ALI,17,FALSE
Rhode Island,Tiverton,Gloria La Riva,PSL,10,FALSE
Rhode Island,Tiverton,Brian Carroll,ASP,9,FALSE
Rhode Island,Warren,Joe Biden,DEM,3524,TRUE
Rhode Island,Warren,Donald Trump,REP,2261,FALSE
Rhode Island,Warren,Jo Jorgensen,LIB,74,FALSE
Rhode Island,Warren, Write-ins,WRI,38,FALSE
Rhode Island,Warren,Brian Carroll,ASP,11,FALSE
Rhode Island,Warren,Rocky De La Fuente,ALI,11,FALSE
Rhode Island,Warren,Gloria La Riva,PSL,7,FALSE
Rhode Island,Warwick,Joe Biden,DEM,25845,TRUE
Rhode Island,Warwick,Donald Trump,REP,19578,FALSE
Rhode Island,Warwick,Jo Jorgensen,LIB,545,FALSE
Rhode Island,Warwick, Write-ins,WRI,271,FALSE
Rhode Island,Warwick,Rocky De La Fuente,ALI,81,FALSE
Rhode Island,Warwick,Brian Carroll,ASP,68,FALSE
Rhode Island,Warwick,Gloria La Riva,PSL,53,FALSE
Rhode Island,Westerly,Joe Biden,DEM,7153,TRUE
Rhode Island,Westerly,Donald Trump,REP,5463,FALSE
Rhode Island,Westerly,Jo Jorgensen,LIB,127,FALSE
Rhode Island,Westerly, Write-ins,WRI,64,FALSE
Rhode Island,Westerly,Rocky De La Fuente,ALI,18,FALSE
Rhode Island,Westerly,Brian Carroll,ASP,16,FALSE
Rhode Island,Westerly,Gloria La Riva,PSL,13,FALSE
Rhode Island,West Greenwich,Donald Trump,REP,2242,TRUE
Rhode Island,West Greenwich,Joe Biden,DEM,1693,FALSE
Rhode Island,West Greenwich,Jo Jorgensen,LIB,41,FALSE
Rhode Island,West Greenwich, Write-ins,WRI,13,FALSE
Rhode Island,West Greenwich,Rocky De La Fuente,ALI,6,FALSE
Rhode Island,West Greenwich,Brian Carroll,ASP,3,FALSE
Rhode Island,West Greenwich,Gloria La Riva,PSL,2,FALSE
Rhode Island,West Warwick,Joe Biden,DEM,7234,TRUE
Rhode Island,West Warwick,Donald Trump,REP,6493,FALSE
Rhode Island,West Warwick,Jo Jorgensen,LIB,143,FALSE
Rhode Island,West Warwick, Write-ins,WRI,73,FALSE
Rhode Island,West Warwick,Rocky De La Fuente,ALI,28,FALSE
Rhode Island,West Warwick,Brian Carroll,ASP,15,FALSE
Rhode Island,West Warwick,Gloria La Riva,PSL,15,FALSE
Rhode Island,Woonsocket,Joe Biden,DEM,7289,TRUE
Rhode Island,Woonsocket,Donald Trump,REP,6265,FALSE
Rhode Island,Woonsocket,Jo Jorgensen,LIB,154,FALSE
Rhode Island,Woonsocket, Write-ins,WRI,47,FALSE
Rhode Island,Woonsocket,Gloria La Riva,PSL,33,FALSE
Rhode Island,Woonsocket,Rocky De La Fuente,ALI,28,FALSE
Rhode Island,Woonsocket,Brian Carroll,ASP,22,FALSE
Rhode Island,Burrillville,Donald Trump,REP,4906,TRUE
Rhode Island,Burrillville,Joe Biden,DEM,3434,FALSE
Rhode Island,Burrillville,Jo Jorgensen,LIB,126,FALSE
Rhode Island,Burrillville, Write-ins,WRI,37,FALSE
Rhode Island,Burrillville,Gloria La Riva,PSL,15,FALSE
Rhode Island,Burrillville,Rocky De La Fuente,ALI,13,FALSE
Rhode Island,Burrillville,Brian Carroll,ASP,7,FALSE
Rhode Island,Central Falls,Joe Biden,DEM,3073,TRUE
Rhode Island,Central Falls,Donald Trump,REP,1113,FALSE
Rhode Island,Central Falls,Gloria La Riva,PSL,27,FALSE
Rhode Island,Central Falls,Jo Jorgensen,LIB,25,FALSE
Rhode Island,Central Falls, Write-ins,WRI,16,FALSE
Rhode Island,Central Falls,Rocky De La Fuente,ALI,10,FALSE
Rhode Island,Central Falls,Brian Carroll,ASP,8,FALSE
Rhode Island,Charlestown,Joe Biden,DEM,2909,TRUE
Rhode Island,Charlestown,Donald Trump,REP,2198,FALSE
Rhode Island,Charlestown,Jo Jorgensen,LIB,64,FALSE
Rhode Island,Charlestown, Write-ins,WRI,27,FALSE
Rhode Island,Charlestown,Rocky De La Fuente,ALI,9,FALSE
Rhode Island,Charlestown,Gloria La Riva,PSL,9,FALSE
Rhode Island,Charlestown,Brian Carroll,ASP,4,FALSE
Rhode Island,Coventry,Donald Trump,REP,10461,TRUE
Rhode Island,Coventry,Joe Biden,DEM,9123,FALSE
Rhode Island,Coventry,Jo Jorgensen,LIB,232,FALSE
Rhode Island,Coventry, Write-ins,WRI,89,FALSE
Rhode Island,Coventry,Rocky De La Fuente,ALI,40,FALSE
Rhode Island,Coventry,Brian Carroll,ASP,37,FALSE
Rhode Island,Coventry,Gloria La Riva,PSL,22,FALSE
Rhode Island,Cranston,Joe Biden,DEM,23039,TRUE
Rhode Island,Cranston,Donald Trump,REP,17313,FALSE
Rhode Island,Cranston,Jo Jorgensen,LIB,311,FALSE
Rhode Island,Cranston, Write-ins,WRI,202,FALSE
Rhode Island,Cranston,Rocky De La Fuente,ALI,73,FALSE
Rhode Island,Cranston,Gloria La Riva,PSL,68,FALSE
Rhode Island,Cranston,Brian Carroll,ASP,47,FALSE
Rhode Island,Cumberland,Joe Biden,DEM,10869,TRUE
Rhode Island,Cumberland,Donald Trump,REP,8418,FALSE
Rhode Island,Cumberland,Jo Jorgensen,LIB,206,FALSE
Rhode Island,Cumberland, Write-ins,WRI,102,FALSE
Rhode Island,Cumberland,Rocky De La Fuente,ALI,38,FALSE
Rhode Island,Cumberland,Brian Carroll,ASP,27,FALSE
Rhode Island,Cumberland,Gloria La Riva,PSL,18,FALSE
Rhode Island,East Greenwich,Joe Biden,DEM,5218,TRUE
Rhode Island,East Greenwich,Donald Trump,REP,3227,FALSE
Rhode Island,East Greenwich,Jo Jorgensen,LIB,104,FALSE
Rhode Island,East Greenwich, Write-ins,WRI,73,FALSE
Rhode Island,East Greenwich,Rocky De La Fuente,ALI,9,FALSE
Rhode Island,East Greenwich,Brian Carroll,ASP,8,FALSE
Rhode Island,East Greenwich,Gloria La Riva,PSL,8,FALSE
South Carolina,Abbeville County,Donald Trump,REP,8215,TRUE
South Carolina,Abbeville County,Joe Biden,DEM,4101,FALSE
South Carolina,Abbeville County,Jo Jorgensen,LIB,88,FALSE
South Carolina,Abbeville County,Howie Hawkins,GRN,23,FALSE
South Carolina,Abbeville County,Rocky De La Fuente,ALI,6,FALSE
South Carolina,Aiken County,Donald Trump,REP,51589,TRUE
South Carolina,Aiken County,Joe Biden,DEM,32275,FALSE
South Carolina,Aiken County,Jo Jorgensen,LIB,982,FALSE
South Carolina,Aiken County,Howie Hawkins,GRN,274,FALSE
South Carolina,Aiken County,Rocky De La Fuente,ALI,65,FALSE
South Carolina,Allendale County,Joe Biden,DEM,2718,TRUE
South Carolina,Allendale County,Donald Trump,REP,835,FALSE
South Carolina,Allendale County,Howie Hawkins,GRN,19,FALSE
South Carolina,Allendale County,Jo Jorgensen,LIB,19,FALSE
South Carolina,Allendale County,Rocky De La Fuente,ALI,2,FALSE
South Carolina,Anderson County,Donald Trump,REP,67565,TRUE
South Carolina,Anderson County,Joe Biden,DEM,27169,FALSE
South Carolina,Anderson County,Jo Jorgensen,LIB,1123,FALSE
South Carolina,Anderson County,Howie Hawkins,GRN,178,FALSE
South Carolina,Anderson County,Rocky De La Fuente,ALI,58,FALSE
South Carolina,Bamberg County,Joe Biden,DEM,4010,TRUE
South Carolina,Bamberg County,Donald Trump,REP,2417,FALSE
South Carolina,Bamberg County,Jo Jorgensen,LIB,31,FALSE
South Carolina,Bamberg County,Howie Hawkins,GRN,17,FALSE
South Carolina,Bamberg County,Rocky De La Fuente,ALI,7,FALSE
South Carolina,Barnwell County,Donald Trump,REP,5492,TRUE
South Carolina,Barnwell County,Joe Biden,DEM,4720,FALSE
South Carolina,Barnwell County,Jo Jorgensen,LIB,78,FALSE
South Carolina,Barnwell County,Howie Hawkins,GRN,19,FALSE
South Carolina,Barnwell County,Rocky De La Fuente,ALI,12,FALSE
South Carolina,Beaufort County,Donald Trump,REP,53194,TRUE
South Carolina,Beaufort County,Joe Biden,DEM,43419,FALSE
South Carolina,Beaufort County,Jo Jorgensen,LIB,941,FALSE
South Carolina,Beaufort County,Howie Hawkins,GRN,214,FALSE
South Carolina,Beaufort County,Rocky De La Fuente,ALI,67,FALSE
South Carolina,Berkeley County,Donald Trump,REP,57397,TRUE
South Carolina,Berkeley County,Joe Biden,DEM,45223,FALSE
South Carolina,Berkeley County,Jo Jorgensen,LIB,1485,FALSE
South Carolina,Berkeley County,Howie Hawkins,GRN,276,FALSE
South Carolina,Berkeley County,Rocky De La Fuente,ALI,77,FALSE
South Carolina,Calhoun County,Donald Trump,REP,4305,TRUE
South Carolina,Calhoun County,Joe Biden,DEM,3905,FALSE
South Carolina,Calhoun County,Jo Jorgensen,LIB,58,FALSE
South Carolina,Calhoun County,Howie Hawkins,GRN,18,FALSE
South Carolina,Calhoun County,Rocky De La Fuente,ALI,5,FALSE
South Carolina,Charleston County,Joe Biden,DEM,121485,TRUE
South Carolina,Charleston County,Donald Trump,REP,93297,FALSE
South Carolina,Charleston County,Jo Jorgensen,LIB,3177,FALSE
South Carolina,Charleston County,Howie Hawkins,GRN,743,FALSE
South Carolina,Charleston County,Rocky De La Fuente,ALI,155,FALSE
South Carolina,Cherokee County,Donald Trump,REP,18043,TRUE
South Carolina,Cherokee County,Joe Biden,DEM,6983,FALSE
South Carolina,Cherokee County,Jo Jorgensen,LIB,186,FALSE
South Carolina,Cherokee County,Howie Hawkins,GRN,48,FALSE
South Carolina,Cherokee County,Rocky De La Fuente,ALI,10,FALSE
South Carolina,Chester County,Donald Trump,REP,8660,TRUE
South Carolina,Chester County,Joe Biden,DEM,6941,FALSE
South Carolina,Chester County,Jo Jorgensen,LIB,108,FALSE
South Carolina,Chester County,Howie Hawkins,GRN,37,FALSE
South Carolina,Chester County,Rocky De La Fuente,ALI,11,FALSE
South Carolina,Chesterfield County,Donald Trump,REP,11297,TRUE
South Carolina,Chesterfield County,Joe Biden,DEM,7431,FALSE
South Carolina,Chesterfield County,Jo Jorgensen,LIB,109,FALSE
South Carolina,Chesterfield County,Howie Hawkins,GRN,28,FALSE
South Carolina,Chesterfield County,Rocky De La Fuente,ALI,11,FALSE
South Carolina,Clarendon County,Donald Trump,REP,8361,TRUE
South Carolina,Clarendon County,Joe Biden,DEM,8250,FALSE
South Carolina,Clarendon County,Jo Jorgensen,LIB,67,FALSE
South Carolina,Clarendon County,Howie Hawkins,GRN,42,FALSE
South Carolina,Clarendon County,Rocky De La Fuente,ALI,13,FALSE
South Carolina,Colleton County,Donald Trump,REP,10440,TRUE
South Carolina,Colleton County,Joe Biden,DEM,8602,FALSE
South Carolina,Colleton County,Jo Jorgensen,LIB,178,FALSE
South Carolina,Colleton County,Howie Hawkins,GRN,56,FALSE
South Carolina,Colleton County,Rocky De La Fuente,ALI,7,FALSE
South Carolina,Darlington County,Donald Trump,REP,16832,TRUE
South Carolina,Darlington County,Joe Biden,DEM,15220,FALSE
South Carolina,Darlington County,Jo Jorgensen,LIB,260,FALSE
South Carolina,Darlington County,Howie Hawkins,GRN,77,FALSE
South Carolina,Darlington County,Rocky De La Fuente,ALI,28,FALSE
South Carolina,Dillon County,Donald Trump,REP,6582,TRUE
South Carolina,Dillon County,Joe Biden,DEM,6436,FALSE
South Carolina,Dillon County,Jo Jorgensen,LIB,38,FALSE
South Carolina,Dillon County,Howie Hawkins,GRN,36,FALSE
South Carolina,Dillon County,Rocky De La Fuente,ALI,9,FALSE
South Carolina,Dorchester County,Donald Trump,REP,41913,TRUE
South Carolina,Dorchester County,Joe Biden,DEM,33824,FALSE
South Carolina,Dorchester County,Jo Jorgensen,LIB,1219,FALSE
South Carolina,Dorchester County,Howie Hawkins,GRN,239,FALSE
South Carolina,Dorchester County,Rocky De La Fuente,ALI,83,FALSE
South Carolina,Edgefield County,Donald Trump,REP,8184,TRUE
South Carolina,Edgefield County,Joe Biden,DEM,4953,FALSE
South Carolina,Edgefield County,Jo Jorgensen,LIB,120,FALSE
South Carolina,Edgefield County,Howie Hawkins,GRN,39,FALSE
South Carolina,Edgefield County,Rocky De La Fuente,ALI,8,FALSE
South Carolina,Fairfield County,Joe Biden,DEM,7382,TRUE
South Carolina,Fairfield County,Donald Trump,REP,4625,FALSE
South Carolina,Fairfield County,Jo Jorgensen,LIB,78,FALSE
South Carolina,Fairfield County,Howie Hawkins,GRN,41,FALSE
South Carolina,Fairfield County,Rocky De La Fuente,ALI,10,FALSE
South Carolina,Florence County,Donald Trump,REP,32615,TRUE
South Carolina,Florence County,Joe Biden,DEM,31153,FALSE
South Carolina,Florence County,Jo Jorgensen,LIB,503,FALSE
South Carolina,Florence County,Howie Hawkins,GRN,194,FALSE
South Carolina,Florence County,Rocky De La Fuente,ALI,45,FALSE
South Carolina,Georgetown County,Donald Trump,REP,20487,TRUE
South Carolina,Georgetown County,Joe Biden,DEM,15822,FALSE
South Carolina,Georgetown County,Jo Jorgensen,LIB,237,FALSE
South Carolina,Georgetown County,Howie Hawkins,GRN,93,FALSE
South Carolina,Georgetown County,Rocky De La Fuente,ALI,29,FALSE
South Carolina,Greenville County,Donald Trump,REP,150021,TRUE
South Carolina,Greenville County,Joe Biden,DEM,103030,FALSE
South Carolina,Greenville County,Jo Jorgensen,LIB,4179,FALSE
South Carolina,Greenville County,Howie Hawkins,GRN,698,FALSE
South Carolina,Greenville County,Rocky De La Fuente,ALI,227,FALSE
South Carolina,Greenwood County,Donald Trump,REP,19431,TRUE
South Carolina,Greenwood County,Joe Biden,DEM,12145,FALSE
South Carolina,Greenwood County,Jo Jorgensen,LIB,318,FALSE
South Carolina,Greenwood County,Howie Hawkins,GRN,95,FALSE
South Carolina,Greenwood County,Rocky De La Fuente,ALI,17,FALSE
South Carolina,Hampton County,Joe Biden,DEM,5323,TRUE
